,question,context,answer
413,How many actions does it take to process the quinoa?,"bring water # part : boil # to a boil # habitat : pot 1.1.5 # and add # drop : water 1.1.2 # quinoa # part : add # . when cooking time is about half way done add # drop : quinoa 1.1.8, habitat : pot 1.1.5 # soy # part : add # sauce . set # habitat : bowl 1.3.1 # quinoa # part : set # aside when completely cooked # drop : quinoa 1.1.8, habitat : pot 1.1.5 # . dice # tool : knife 2.1.1, habitat : cutting board 2.1.1 # onion # part : dice # and place # drop : onion 2.1.2 # in a medium size wok # part : place # along with a small amount of soy # part : place # sauce to cook # habitat : wok 2.1.9 # . cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # peppers # part : cut # and broccoli # part : cut # to desired size and add # drop : onion 2.1.2, result : ingredients mix 3.1.9 # to wok # part : add # clean # shadow : water 4.1.1 # and cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # chicken # part : clean # breast into small pieces . season # drop : small pieces 4.1.7 # evenly with ginger # part : season # powder . add # drop : small pieces 4.1.7 # to wok # part : add # . cook # habitat : wok 2.1.9 # ingredients # part : cook # until chicken # part : cooked # is fully cooked # habitat : wok 2.1.9 # , stirring # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # in a small amount of soy # part : stirring # sauce as desired . when ingredients # part : cooked # are cooked mix # drop : ingredients mix 3.1.9, habitat : wok 2.1.9 # the quinoa # part : mix # into the wok # part : cooked # . stir # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # throughly . serve # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # and add # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # additional seasonings # part : add # as desired . ",3
414,How many pots are used?,"bring water # part : boil # to a boil # habitat : pot 1.1.5 # and add # drop : water 1.1.2 # quinoa # part : add # . when cooking time is about half way done add # drop : quinoa 1.1.8, habitat : pot 1.1.5 # soy # part : add # sauce . set # habitat : bowl 1.3.1 # quinoa # part : set # aside when completely cooked # drop : quinoa 1.1.8, habitat : pot 1.1.5 # . dice # tool : knife 2.1.1, habitat : cutting board 2.1.1 # onion # part : dice # and place # drop : onion 2.1.2 # in a medium size wok # part : place # along with a small amount of soy # part : place # sauce to cook # habitat : wok 2.1.9 # . cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # peppers # part : cut # and broccoli # part : cut # to desired size and add # drop : onion 2.1.2, result : ingredients mix 3.1.9 # to wok # part : add # clean # shadow : water 4.1.1 # and cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # chicken # part : clean # breast into small pieces . season # drop : small pieces 4.1.7 # evenly with ginger # part : season # powder . add # drop : small pieces 4.1.7 # to wok # part : add # . cook # habitat : wok 2.1.9 # ingredients # part : cook # until chicken # part : cooked # is fully cooked # habitat : wok 2.1.9 # , stirring # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # in a small amount of soy # part : stirring # sauce as desired . when ingredients # part : cooked # are cooked mix # drop : ingredients mix 3.1.9, habitat : wok 2.1.9 # the quinoa # part : mix # into the wok # part : cooked # . stir # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # throughly . serve # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # and add # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # additional seasonings # part : add # as desired . ",1
415,How many actions does it take to process the salt?,"combine # result : mixture 1.1.1 # worcestershire # part : combine # , salt # part : combine # and pepper # part : combine # and ground # part : combine # beef . scale # drop : mixture 1.1.1 # into 5 oz portions . shape into patties # part : shape # . refrigerate # drop : portions 2.1.5, habitat : refrigerator 4.1.1 # at least 30 minutes . broil , grill or pan fry to desired doneness . serve # drop : portions 2.1.5 # on bun # part : serve # with lettuce # part : serve # , sliced # part : serve # tomatoes and onion # part : serve # . place approximately 2 oz of california # part : place # avocado on top of each patty # part : place # . ",1
416,How many actions does it take to process the lettuce?,"combine # result : mixture 1.1.1 # worcestershire # part : combine # , salt # part : combine # and pepper # part : combine # and ground # part : combine # beef . scale # drop : mixture 1.1.1 # into 5 oz portions . shape into patties # part : shape # . refrigerate # drop : portions 2.1.5, habitat : refrigerator 4.1.1 # at least 30 minutes . broil , grill or pan fry to desired doneness . serve # drop : portions 2.1.5 # on bun # part : serve # with lettuce # part : serve # , sliced # part : serve # tomatoes and onion # part : serve # . place approximately 2 oz of california # part : place # avocado on top of each patty # part : place # . ",1
417,How many actions does it take to process the red pesto?,"divide # tool : hands 1.1.1 # the puff # part : divide # pastry into 6 - 8 broad strips # part : divide # . evenly coat each strip # part : coat # with red # part : coat # pesto . sprinkle # drop : puff pastry 1.1.3 # with emmental # part : sprinkle # and parmesan # part : sprinkle # cheese . roll # tool : hands 1.1.1 # the strips # part : roll # into cylinder like tubes # part : roll # , press # drop : puff pastry 1.1.3, tool : hands 1.1.1 # together the bottom and place # drop : puff pastry 1.1.3 # in a suitable mould # part : place # ( for muffins or similar ) . bake # drop : puff pastry 1.1.3, habitat : mould 3.1.18 # at 190'c for about 20 minutes or until the rolls become golden - brown in colour . serve # drop : puff pastry 1.1.3, habitat : tray 4.1.1 # hot or at room temperature . ",1
418,How many actions does it take to process the puff pastry?,"divide # tool : hands 1.1.1 # the puff # part : divide # pastry into 6 - 8 broad strips # part : divide # . evenly coat each strip # part : coat # with red # part : coat # pesto . sprinkle # drop : puff pastry 1.1.3 # with emmental # part : sprinkle # and parmesan # part : sprinkle # cheese . roll # tool : hands 1.1.1 # the strips # part : roll # into cylinder like tubes # part : roll # , press # drop : puff pastry 1.1.3, tool : hands 1.1.1 # together the bottom and place # drop : puff pastry 1.1.3 # in a suitable mould # part : place # ( for muffins or similar ) . bake # drop : puff pastry 1.1.3, habitat : mould 3.1.18 # at 190'c for about 20 minutes or until the rolls become golden - brown in colour . serve # drop : puff pastry 1.1.3, habitat : tray 4.1.1 # hot or at room temperature . ",6
419,How many times is the mould used?,"divide # tool : hands 1.1.1 # the puff # part : divide # pastry into 6 - 8 broad strips # part : divide # . evenly coat each strip # part : coat # with red # part : coat # pesto . sprinkle # drop : puff pastry 1.1.3 # with emmental # part : sprinkle # and parmesan # part : sprinkle # cheese . roll # tool : hands 1.1.1 # the strips # part : roll # into cylinder like tubes # part : roll # , press # drop : puff pastry 1.1.3, tool : hands 1.1.1 # together the bottom and place # drop : puff pastry 1.1.3 # in a suitable mould # part : place # ( for muffins or similar ) . bake # drop : puff pastry 1.1.3, habitat : mould 3.1.18 # at 190'c for about 20 minutes or until the rolls become golden - brown in colour . serve # drop : puff pastry 1.1.3, habitat : tray 4.1.1 # hot or at room temperature . ",2
420,How many actions does it take to process the fish?,"in a saute # part : braise # pan braise cranberries # part : braise # , walnut # part : braise # oil and 1/2 cup marsala # part : braise # wine until the cranberries begin to pop . add remaining wine # part : add # , garlic # part : add # , honey # part : add # and cranberry # part : add # bog blend . reduce heat to medium and stir for another 5 minutes . marinate beef # part : marinate # , poultry # part : marinate # , pork # part : marinate # or fish # part : marinate # for at least 3 hours , or overnight . ",1
421,How many saute pans are used?,"in a saute # part : braise # pan braise cranberries # part : braise # , walnut # part : braise # oil and 1/2 cup marsala # part : braise # wine until the cranberries begin to pop . add remaining wine # part : add # , garlic # part : add # , honey # part : add # and cranberry # part : add # bog blend . reduce heat to medium and stir for another 5 minutes . marinate beef # part : marinate # , poultry # part : marinate # , pork # part : marinate # or fish # part : marinate # for at least 3 hours , or overnight . ",1
422,How many actions does it take to process the marsala wine?,"in a saute # part : braise # pan braise cranberries # part : braise # , walnut # part : braise # oil and 1/2 cup marsala # part : braise # wine until the cranberries begin to pop . add remaining wine # part : add # , garlic # part : add # , honey # part : add # and cranberry # part : add # bog blend . reduce heat to medium and stir for another 5 minutes . marinate beef # part : marinate # , poultry # part : marinate # , pork # part : marinate # or fish # part : marinate # for at least 3 hours , or overnight . ",1
423,How many actions does it take to process the wine?,"shake # tool : hands 1.1.1, habitat : cocktail shaker 1.1.1 # all ingredients # part : shake # except wine . pour into a glass half filled with ice cubes . add # drop : ingredients 1.1.3 ice cubes 3.1.1, habitat : glass 3.1.1 # wine # part : add # and stir # drop : wine 3.1.2 ice cubes 3.1.1, tool : spoon 3.1.4, habitat : glass 3.1.1 # gently . top # drop : ingredients 1.1.3 wine 1.1.5 ice cubes 3.1.1, tool : glass 3.1.1 # with a pineapple # part : top # ring . ",4
424,How many cocktail shakers are used?,"shake # tool : hands 1.1.1, habitat : cocktail shaker 1.1.1 # all ingredients # part : shake # except wine . pour into a glass half filled with ice cubes . add # drop : ingredients 1.1.3 ice cubes 3.1.1, habitat : glass 3.1.1 # wine # part : add # and stir # drop : wine 3.1.2 ice cubes 3.1.1, tool : spoon 3.1.4, habitat : glass 3.1.1 # gently . top # drop : ingredients 1.1.3 wine 1.1.5 ice cubes 3.1.1, tool : glass 3.1.1 # with a pineapple # part : top # ring . ",1
425,How many times is the glass used?,"shake # tool : hands 1.1.1, habitat : cocktail shaker 1.1.1 # all ingredients # part : shake # except wine . pour into a glass half filled with ice cubes . add # drop : ingredients 1.1.3 ice cubes 3.1.1, habitat : glass 3.1.1 # wine # part : add # and stir # drop : wine 3.1.2 ice cubes 3.1.1, tool : spoon 3.1.4, habitat : glass 3.1.1 # gently . top # drop : ingredients 1.1.3 wine 1.1.5 ice cubes 3.1.1, tool : glass 3.1.1 # with a pineapple # part : top # ring . ",6
426,How many times is the knife used?,"preheat your oven # part : preheat # according to the pizza crust package directions . in a medium - sized bowl # part : combine # , combine # result : mixture 2.1.8 # the zucchini # part : combine # , olive # part : combine # oil , garlic # part : combine # , lemon # part : combine # zest and salt # part : combine # and pepper # part : combine # . toss # drop : mixture 2.1.8, tool : salad tongs 2.2.1, habitat : bowl 2.1.6 # to combine well . dollop the ricotta # part : dollop # cheese around the pizza # part : dollop # crust and spread # tool : knife 3.1.10 # it # part : dollop # out slightly . mound the zucchini # part : mound # over the cheese # part : mound # , then sprinkle the olives # part : sprinkle # evenly over the zucchini # part : mound # . sprinkle # drop : pizza crust 3.1.7 # on the pine # part : sprinkle # nuts , then the parmesan # part : sprinkle # cheese . bake # drop : pizza crust 3.1.7, habitat : oven 1.1.3 # according to the pizza crust instructions . the cheese # part : melted # should be slightly melted # habitat : oven 1.1.3 # and the crust # part : crispy # crispy # habitat : oven 1.1.3 # . ",1
427,How many times is the oven used?,"preheat your oven # part : preheat # according to the pizza crust package directions . in a medium - sized bowl # part : combine # , combine # result : mixture 2.1.8 # the zucchini # part : combine # , olive # part : combine # oil , garlic # part : combine # , lemon # part : combine # zest and salt # part : combine # and pepper # part : combine # . toss # drop : mixture 2.1.8, tool : salad tongs 2.2.1, habitat : bowl 2.1.6 # to combine well . dollop the ricotta # part : dollop # cheese around the pizza # part : dollop # crust and spread # tool : knife 3.1.10 # it # part : dollop # out slightly . mound the zucchini # part : mound # over the cheese # part : mound # , then sprinkle the olives # part : sprinkle # evenly over the zucchini # part : mound # . sprinkle # drop : pizza crust 3.1.7 # on the pine # part : sprinkle # nuts , then the parmesan # part : sprinkle # cheese . bake # drop : pizza crust 3.1.7, habitat : oven 1.1.3 # according to the pizza crust instructions . the cheese # part : melted # should be slightly melted # habitat : oven 1.1.3 # and the crust # part : crispy # crispy # habitat : oven 1.1.3 # . ",5
